id,gender,masterCategory,subCategory,articleType,baseColour,season,production_year,usage,productDisplayName,Size,Made In,Quantity,Image2,Image,price,rating,Material,productDisplayNameOrg,baseColourOrg
15970,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Turtle Check Men Blue Shirt,XL,Vietnam,11,C:\ITE\Higher Nitec\Capstone\Image data\images\15970.jpg,15970.jpg,72,4,Poly-Cotton,Turtle Check Men Navy Blue Shirt,Navy Blue
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,S,China,61,C:\ITE\Higher Nitec\Capstone\Image data\images\39386.jpg,39386.jpg,288,4,Cotton,Peter England Men Party Blue Jeans,Blue
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,L,Vietnam,28,C:\ITE\Higher Nitec\Capstone\Image data\images\21379.jpg,21379.jpg,219,1,Poly-Cotton,Manchester United Men Solid Black Track Pants,Black
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,M,USA,54,C:\ITE\Higher Nitec\Capstone\Image data\images\53759.jpg,53759.jpg,210,2,Cotton,Puma Men Grey T-shirt,Grey
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,XL,UK,89,C:\ITE\Higher Nitec\Capstone\Image data\images\1855.jpg,1855.jpg,163,3,Cotton,Inkfruit Mens Chain Reaction T-shirt,Grey
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,S,UK,51,C:\ITE\Higher Nitec\Capstone\Image data\images\30805.jpg,30805.jpg,289,2,Linen,Fabindia Men Striped Green Shirt,Green
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,M,Singapore,40,C:\ITE\Higher Nitec\Capstone\Image data\images\26960.jpg,26960.jpg,230,1,Cotton,Jealous 21 Women Purple Shirt,Purple
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,XL,Vietnam,36,C:\ITE\Higher Nitec\Capstone\Image data\images\12369.jpg,12369.jpg,178,3,Linen,Reid & Taylor Men Check Purple Shirts,Purple
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,XXL,Vietnam,24,C:\ITE\Higher Nitec\Capstone\Image data\images\51832.jpg,51832.jpg,264,5,Cotton,Bwitch Beige Full-Coverage Bra BW335,Beige
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,L,USA,56,C:\ITE\Higher Nitec\Capstone\Image data\images\13089.jpg,13089.jpg,62,1,Polyester,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Grey
7990,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Fila Men's Round Neck Black T-shirt,XXL,Vietnam,61,C:\ITE\Higher Nitec\Capstone\Image data\images\7990.jpg,7990.jpg,99,1,Polyester,Fila Men's Round Neck Navy Blue T-shirt,Navy Blue
37812,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Formal,John Players Men Blue Shirt Logo,XXL,China,90,C:\ITE\Higher Nitec\Capstone\Image data\images\37812.jpg,37812.jpg,155,3,Cotton,John Players Men Navy Blue Shirt,Navy Blue
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,XXL,Singapore,23,C:\ITE\Higher Nitec\Capstone\Image data\images\4729.jpg,4729.jpg,151,3,Cotton,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Green
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,M,USA,69,C:\ITE\Higher Nitec\Capstone\Image data\images\56825.jpg,56825.jpg,218,4,Cotton,John Players Men Brown Shirt,Brown
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,XL,UK,75,C:\ITE\Higher Nitec\Capstone\Image data\images\20099.jpg,20099.jpg,114,4,Linen,Diva Women Embroided Green Kurta,Green
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,M,Singapore,36,C:\ITE\Higher Nitec\Capstone\Image data\images\3954.jpg,3954.jpg,285,4,Cotton,Jealous 21 Women's Pink T-shirt,Pink
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,S,Singapore,67,C:\ITE\Higher Nitec\Capstone\Image data\images\28690.jpg,28690.jpg,232,2,Linen,W Women Printed Beige Kurta,Beige
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,XL,UK,96,C:\ITE\Higher Nitec\Capstone\Image data\images\8580.jpg,8580.jpg,235,2,Poly-Cotton,Scullers Men  Grey Waistcoat,Grey
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,XXL,USA,82,C:\ITE\Higher Nitec\Capstone\Image data\images\18005.jpg,18005.jpg,132,4,Nylon,Puma Men Long Logo Black Bermuda,Black
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,XL,USA,12,C:\ITE\Higher Nitec\Capstone\Image data\images\17871.jpg,17871.jpg,215,4,Wool,Levis Men Boxer Maroon Brief,Maroon
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,M,Vietnam,4,C:\ITE\Higher Nitec\Capstone\Image data\images\9452.jpg,9452.jpg,66,5,Linen,John Miller Men Stripes White Red Shirts,Red
